1710737420:478845,B003,150.0000,150.0000,150.0000,22.0000
1710737421:478930,B003,150.0000,150.0000,150.0000,22.0000
1710737422:478991,B003,150.0000,150.0000,150.0000,22.0000
1710737423:479085,B003,150.0000,150.0000,150.0000,22.0000
1710737424:479147,B003,150.0000,150.0000,150.0000,22.0000
1710737425:479208,B003,150.0000,150.0000,150.0000,22.0000
1710737426:479302,B003,150.0000,150.0000,150.0000,22.0000
1710737427:479374,B003,150.0000,150.0000,150.0000,22.0000
1710737428:479440,B003,150.0000,150.0000,150.0000,22.0000
1710737429:479532,B003,150.0000,150.0000,150.0000,22.0000
1710737431:479691,B003,150.0000,150.0000,150.0000,22.0000
1710737432:479761,B003,150.0000,150.0000,150.0000,22.0000
1710737433:479815,B003,150.0000,150.0000,150.0000,22.0000
1710737434:479905,B003,150.0000,150.0000,150.0000,22.0000
1710737435:479992,B003,150.0000,150.0000,150.0000,22.0000
1710737436:480060,B003,150.0000,150.0000,150.0000,22.0000
1710737437:480936,B003,150.0000,150.0000,150.0000,22.0000
1710737438:480202,B003,150.0000,150.0000,150.0000,22.0000
1710737439:480277,B003,150.0000,150.0000,150.0000,22.0000
1710737440:480346,B003,150.0000,150.0000,150.0000,22.0000
1710737441:480444,B003,150.0000,150.0000,150.0000,22.0000
1710737442:480501,B003,150.0000,150.0000,150.0000,22.0000
1710737443:480599,B003,150.0000,150.0000,150.0000,22.0000
1710737443:682567,B003,150.0000,150.0000,150.0000,22.0000
1710737444:480646,B003,150.0000,150.0000,150.0000,22.0000
1710737445:480750,B003,150.0000,150.0000,150.0000,22.0000
1710737446:480803,B003,150.0000,150.0000,150.0000,22.0000
1710737447:480906,B003,150.0000,150.0000,150.0000,22.0000
1710737448:480973,B003,150.0000,150.0000,150.0000,22.0000
1710737449:481030,B003,150.0000,150.0000,150.0000,22.0000
1710737450:481104,B003,150.0000,150.0000,150.0000,22.0000
1710737451:481181,B003,150.0000,150.0000,150.0000,22.0000
1710737452:481255,B003,150.0000,150.0000,150.0000,22.0000
1710737453:481355,B003,150.0000,150.0000,150.0000,22.0000
1710737454:481412,B003,150.0000,150.0000,150.0000,22.0000
1710737455:481491,B003,150.0000,150.0000,150.0000,22.0000
1710737456:481563,B003,150.0000,150.0000,150.0000,22.0000
1710737457:481637,B003,150.0000,150.0000,150.0000,22.0000
1710737458:481704,B003,150.0000,150.0000,150.0000,22.0000
1710737459:481804,B003,150.0000,150.0000,150.0000,22.0000
1710737460:481889,B003,150.0000,150.0000,150.0000,22.0000
1710737461:481939,B003,150.0000,150.0000,150.0000,22.0000
1710737462:482014,B003,150.0000,150.0000,150.0000,22.0000
