1710870024:731957,B003,22.0000,22.0000,24.0000,150.0000
1710870024:732351,B001,0.0000
1710870024:732533,B001,0.0000
1710870024:733699,B001,0.0000
1710870024:734265,B001,0.0000
1710870024:735431,B001,0.0000
1710870024:735607,B001,0.0000
1710870024:788388,B003,22.0000,22.0000,24.0000,150.0000
1710870024:846900,B001,0.0000
1710870024:876858,B001,0.0000
1710870025:6865,B001,0.0000
1710870025:36833,B001,0.0000
1710870025:196852,B001,0.0000
1710870025:266844,B001,0.0000
1710870025:426860,B001,0.0000
1710870025:457675,B001,0.0000
1710870025:586872,B001,0.0000
1710870025:616871,B001,0.0000
1710870025:783215,B003,22.0000,22.0000,24.0000,150.0000
1710870025:846885,B001,0.0000
1710870025:876894,B001,0.0000
1710870026:6902,B001,0.0000
1710870026:36899,B001,0.0000
1710870026:196917,B001,0.0000
1710870026:266917,B001,0.0000
1710870026:426928,B001,0.0000
1710870026:456932,B001,0.0000
1710870026:586938,B001,0.0000
1710870026:616939,B001,0.0000
1710870026:783273,B003,22.0000,22.0000,24.0000,150.0000
1710870026:846963,B001,0.0000
1710870026:876964,B001,0.0000
1710870027:6969,B001,0.0000
1710870027:36972,B001,0.0000
1710870027:196985,B001,0.0000
1710870027:266992,B001,0.0000
1710870027:427812,B001,0.0000
1710870027:457002,B001,0.0000
1710870027:587013,B001,0.0000
1710870027:617012,B001,0.0000
1710870027:783373,B003,22.0000,22.0000,24.0000,150.0000
1710870027:847034,B001,0.0000
1710870027:877039,B001,0.0000
1710870028:7210,B001,0.0000
1710870028:37205,B001,0.0000
1710870028:197221,B001,0.0000
1710870028:267224,B001,0.0000
1710870028:427235,B001,0.0000
1710870028:457233,B001,0.0000
1710870028:587276,B001,0.0000
1710870028:617254,B001,0.0000
1710870028:783605,B003,22.0000,22.0000,24.0000,150.0000
1710870028:847263,B001,0.0000
1710870028:877262,B001,0.0000
1710870029:7270,B001,0.0000
1710870029:38090,B001,0.0000
1710870029:197279,B001,0.0000
1710870029:267289,B001,0.0000
1710870029:427303,B001,0.0000
1710870029:457304,B001,0.0000
1710870029:587318,B001,0.0000
1710870029:617315,B001,0.0000
1710870029:783661,B003,22.0000,22.0000,24.0000,150.0000
1710870029:847334,B001,0.0000
1710870029:877332,B001,0.0000
1710870030:7348,B001,0.0000
1710870030:37342,B001,0.0000
1710870030:197348,B001,0.0000
1710870030:267359,B001,0.0000
1710870030:427367,B001,0.0000
1710870030:457376,B001,0.0000
1710870030:587384,B001,0.0000
1710870030:617384,B001,0.0000
1710870030:783734,B003,22.0000,22.0000,24.0000,150.0000
1710870030:847395,B001,0.0000
1710870030:877401,B001,0.0000
1710870031:7408,B001,0.0000
1710870031:37410,B001,0.0000
1710870031:197420,B001,0.0000
1710870031:267423,B001,0.0000
1710870031:427436,B001,0.0000
1710870031:457440,B001,0.0000
1710870031:587451,B001,0.0000
1710870031:617448,B001,0.0000
1710870031:783799,B003,22.0000,22.0000,24.0000,150.0000
1710870031:847467,B001,0.0000
1710870031:877471,B001,0.0000
1710870032:7478,B001,0.0000
1710870032:37483,B001,0.0000
1710870032:197487,B001,0.0000
1710870032:267491,B001,0.0000
1710870032:427499,B001,0.0000
1710870032:457513,B001,0.0000
1710870032:587522,B001,0.0000
1710870032:617521,B001,0.0000
1710870032:783864,B003,22.0000,22.0000,24.0000,150.0000
1710870032:847538,B001,0.0000
1710870032:877536,B001,0.0000
1710870033:7544,B001,0.0000
1710870033:38360,B001,0.0000
1710870033:197555,B001,0.0000
1710870033:267563,B001,0.0000
1710870033:427574,B001,0.0000
1710870033:457576,B001,0.0000
1710870033:587589,B001,0.0000
1710870033:617590,B001,0.0000
1710870033:847602,B001,0.0000
1710870033:877606,B001,0.0000
1710870034:7613,B001,0.0000
1710870034:37617,B001,0.0000
1710870034:197629,B001,0.0000
1710870034:267630,B001,0.0000
1710870034:427643,B001,0.0000
1710870034:458477,B001,0.0000
1710870034:587688,B001,0.0000
1710870034:617658,B001,0.0000
1710870034:784018,B003,22.0000,22.0000,24.0000,150.0000
1710870034:848485,B001,0.0000
1710870034:877673,B001,0.0000
1710870035:7685,B001,0.0000
