1710874869:300045,B001,11.0000,11.0000,1.0000
1710874869:300545,B001,11.0000,11.0000,1.0000
1710874869:301612,B001,11.0000,11.0000,1.0000
1710874869:301851,B001,11.0000,11.0000,1.0000
1710874869:303219,B003,21.0000,22.0000,24.0000,150.0000
1710874869:303793,B001,11.0000,11.0000,1.0000
1710874869:304035,B001,11.0000,11.0000,1.0000
1710874869:387712,B001,11.0000,11.0000,1.0000
1710874869:411512,B001,11.0000,11.0000,1.0000
1710874869:570592,B001,11.0000,11.0000,1.0000
1710874869:600593,B001,11.0000,11.0000,1.0000
1710874869:730599,B001,11.0000,11.0000,1.0000
1710874869:760598,B001,11.0000,11.0000,1.0000
1710874869:926936,B003,21.0000,22.0000,24.0000,150.0000
1710874869:990610,B001,11.0000,11.0000,1.0000
1710874870:20624,B001,11.0000,11.0000,1.0000
1710874870:150629,B001,11.0000,11.0000,1.0000
1710874870:180628,B001,11.0000,11.0000,1.0000
1710874870:340645,B001,11.0000,11.0000,1.0000
1710874870:411453,B001,11.0000,11.0000,1.0000
1710874870:570652,B001,11.0000,11.0000,1.0000
1710874870:600658,B001,11.0000,11.0000,1.0000
1710874870:731479,B001,11.0000,11.0000,1.0000
1710874870:760666,B001,11.0000,11.0000,1.0000
1710874870:927004,B003,21.0000,22.0000,24.0000,150.0000
1710874870:990681,B001,11.0000,11.0000,1.0000
1710874871:20696,B001,11.0000,11.0000,1.0000
1710874871:150705,B001,11.0000,11.0000,1.0000
1710874871:180697,B001,11.0000,11.0000,1.0000
1710874871:340720,B001,11.0000,11.0000,1.0000
1710874871:410709,B001,11.0000,11.0000,1.0000
1710874871:570737,B001,11.0000,11.0000,1.0000
1710874871:600729,B001,11.0000,11.0000,1.0000
1710874871:730736,B001,11.0000,11.0000,1.0000
1710874871:760742,B001,11.0000,11.0000,1.0000
1710874871:927083,B003,21.0000,22.0000,24.0000,150.0000
1710874871:990757,B001,11.0000,11.0000,1.0000
1710874872:20768,B001,11.0000,11.0000,1.0000
1710874872:150768,B001,11.0000,11.0000,1.0000
1710874872:180764,B001,11.0000,11.0000,1.0000
1710874872:340784,B001,11.0000,11.0000,1.0000
1710874872:411587,B001,11.0000,11.0000,1.0000
1710874872:570798,B001,11.0000,11.0000,1.0000
1710874872:600795,B001,11.0000,11.0000,1.0000
1710874872:730809,B001,11.0000,11.0000,1.0000
1710874872:760803,B001,11.0000,11.0000,1.0000
1710874872:927191,B003,21.0000,22.0000,24.0000,150.0000
1710874872:991000,B001,11.0000,11.0000,1.0000
1710874873:20940,B001,11.0000,11.0000,1.0000
1710874873:150843,B001,11.0000,11.0000,1.0000
1710874873:180833,B001,11.0000,11.0000,1.0000
1710874873:340849,B001,11.0000,11.0000,1.0000
1710874873:410848,B001,11.0000,11.0000,1.0000
1710874873:570875,B001,11.0000,11.0000,1.0000
1710874873:600870,B001,11.0000,11.0000,1.0000
1710874873:730880,B001,11.0000,11.0000,1.0000
1710874873:760877,B001,11.0000,11.0000,1.0000
1710874873:927211,B003,21.0000,22.0000,24.0000,150.0000
1710874873:990890,B001,11.0000,11.0000,1.0000
1710874874:20935,B001,11.0000,11.0000,1.0000
1710874874:150910,B001,11.0000,11.0000,1.0000
1710874874:180907,B001,11.0000,11.0000,1.0000
1710874874:340918,B001,11.0000,11.0000,1.0000
1710874874:410921,B001,11.0000,11.0000,1.0000
1710874874:570939,B001,11.0000,11.0000,1.0000
1710874874:600935,B001,11.0000,11.0000,1.0000
1710874874:730954,B001,11.0000,11.0000,1.0000
1710874874:760946,B001,11.0000,11.0000,1.0000
1710874874:927287,B003,21.0000,22.0000,24.0000,150.0000
1710874874:990958,B001,11.0000,11.0000,1.0000
1710874875:20966,B001,11.0000,11.0000,1.0000
1710874875:150979,B001,11.0000,11.0000,1.0000
1710874875:180984,B001,11.0000,11.0000,1.0000
1710874875:340987,B001,11.0000,11.0000,1.0000
1710874875:411092,B001,11.0000,11.0000,1.0000
1710874875:571009,B001,11.0000,11.0000,1.0000
1710874875:601003,B001,11.0000,11.0000,1.0000
1710874875:731023,B001,11.0000,11.0000,1.0000
1710874875:761011,B001,11.0000,11.0000,1.0000
1710874875:927351,B003,21.0000,22.0000,24.0000,150.0000
1710874875:990992,B001,11.0000,11.0000,1.0000
1710874876:20980,B001,11.0000,11.0000,1.0000
1710874876:151862,B001,11.0000,11.0000,1.0000
1710874876:181047,B001,11.0000,11.0000,1.0000
1710874876:341061,B001,11.0000,11.0000,1.0000
1710874876:411061,B001,11.0000,11.0000,1.0000
1710874876:571079,B001,11.0000,11.0000,1.0000
1710874876:601075,B00
