1710953413:503797,B000,1.0800,11.0000,11.0000,0.0000
1710953413:633781,B000,1.0800,11.0000,11.0000,0.0000
1710953413:663763,B000,1.0750,11.0000,11.0000,0.0000
1710953413:893781,B000,1.0800,11.0000,11.0000,0.0000
1710953413:923781,B000,1.0750,11.0000,11.0000,0.0000
1710953414:53915,B000,1.0750,11.0000,11.0000,0.0000
1710953414:83893,B000,1.0750,11.0000,11.0000,0.0000
1710953414:130529,B003,25.2571,23.5745,25.4636
1710953414:243955,B000,1.0800,11.0000,11.0000,0.0000
1710953414:313794,B000,1.0750,11.0000,11.0000,0.0000
1710953414:473922,B000,1.0750,11.0000,11.0000,0.0000
1710953414:503923,B000,1.0750,11.0000,11.0000,0.0000
1710953414:633930,B000,1.0750,11.0000,11.0000,0.0000
1710953414:663934,B000,1.0800,11.0000,11.0000,0.0000
1710953414:893945,B000,1.0750,11.0000,11.0000,0.0000
1710953414:923944,B000,1.0750,11.0000,11.0000,0.0000
1710953415:53964,B000,1.0750,11.0000,11.0000,0.0000
1710953415:83961,B000,1.0750,11.0000,11.0000,0.0000
1710953415:130596,B003,25.2571,23.5957,25.4636
1710953415:244139,B000,1.0750,11.0000,11.0000,0.0000
1710953415:313981,B000,1.0750,11.0000,11.0000,0.0000
1710953415:473992,B000,1.0750,11.0000,11.0000,0.0000
1710953415:503993,B000,1.0750,11.0000,11.0000,0.0000
1710953415:634002,B000,1.0750,11.0000,11.0000,0.0000
1710953415:664004,B000,1.0750,11.0000,11.0000,0.0000
1710953415:894069,B000,1.0750,11.0000,11.0000,0.0000
1710953415:924068,B000,1.0750,11.0000,11.0000,0.0000
1710953416:54056,B000,1.0750,11.0000,11.0000,0.0000
1710953416:84076,B000,1.0750,11.0000,11.0000,0.0000
1710953416:130659,B003,25.2857,23.5887,25.4818
1710953416:244087,B000,1.0750,11.0000,11.0000,0.0000
1710953416:314049,B000,1.0750,11.0000,11.0000,0.0000
1710953416:474108,B000,1.0750,11.0000,11.0000,0.0000
1710953416:504242,B000,1.0750,11.0000,11.0000,0.0000
1710953416:634098,B000,1.0750,11.0000,11.0000,0.0000
1710953416:664108,B000,1.0800,11.0000,11.0000,0.0000
1710953416:894118,B000,1.0750,11.0000,11.0000,0.0000
1710953416:924094,B000,1.0800,11.0000,11.0000,0.0000
1710953417:54104,B000,1.0750,11.0000,11.0000,0.0000
1710953417:84100,B000,1.0800,11.0000,11.0000,0.0000
1710953417:130620,B003,25.2857,23.5887,25.4818
1710953417:244137,B000,1.0750,11.0000,11.0000,0.0000
1710953417:314119,B000,1.0750,11.0000,11.0000,0.0000
1710953417:474134,B000,1.0750,11.0000,11.0000,0.0000
1710953417:504135,B000,1.0750,11.0000,11.0000,0.0000
1710953417:634142,B000,1.0750,11.0000,11.0000,0.0000
1710953417:664143,B000,1.0750,11.0000,11.0000,0.0000
1710953417:894175,B000,1.0750,11.0000,11.0000,0.0000
1710953417:924163,B000,1.0800,11.0000,11.0000,0.0000
1710953418:54170,B000,1.0750,11.0000,11.0000,0.0000
1710953418:84167,B000,1.0750,11.0000,11.0000,0.0000
1710953418:130799,B003,25.2571,23.5745,25.4636
1710953418:244187,B000,1.0800,11.0000,11.0000,0.0000
1710953418:314071,B000,1.0750,11.0000,11.0000,0.0000
1710953418:474226,B000,1.0750,11.0000,11.0000,0.0000
1710953418:504200,B000,1.0750,11.0000,11.0000,0.0000
1710953418:634228,B000,1.0800,11.0000,11.0000,0.0000
1710953418:664212,B000,1.0750,11.0000,11.0000,0.0000
1710953418:895053,B000,1.0750,11.0000,11.0000,0.0000
1710953418:924229,B000,1.0750,11.0000,11.0000,0.0000
1710953419:54261,B000,1.0750,11.0000,11.0000,0.0000
1710953419:84242,B000,1.0750,11.0000,11.0000,0.0000
1710953419:130857,B003,25.2286,23.5745,25.4636
1710953419:244292,B000,1.0800,11.0000,11.0000,0.0000
1710953419:314270,B000,1.0750,11.0000,11.0000,0.0000
1710953419:474291,B000,1.0750,11.0000,11.0000,0.0000
1710953419:504274,B000,1.0800,11.0000,11.0000,0.0000
1710953419:637743,B000,1.0750,11.0000,11.0000,0.0000
1710953419:677684,B000,1.0750,11.0000,11.0000,0.0000
1710953419:894343,B000,1.0750,11.0000,11.0000,0.0000
1710953419:924302,B000,1.0800,11.0000,11.0000,0.0000
1710953420:54359,B000,1.0750,11.0000,11.0000,0.0000
1710953420:84317,B000,1.0800,11.0000,11.0000,0.0000
1710953420:131060,B003,25.2857,23.5887,25.4818
1710953420:244316,B000,1.0750,11.0000,11.0000,0.0000
1710953420:314309,B000,1.0800,11.0000,11.0000,0.0000
1710953420:474290,B000,1.0750,11.0000,11.0000,0.0000
1710953420:504254,B000,1.0750,11.0000,11.0000,0.0000
1710953420:634264,B000,1.0800,11.0000,11.0000,0.0000
1710953420:664252,B000,1.0750,11.0000,11.0000,0.0000
1710953420:894273,B000,1.0750,11.0000,11.0000,0.0000
1710953420:924268,B000,1.0750,11.0000,11.0000,0.0000
1710953421:54289,B000,1.0750,11.0000,11.0000,0.0000
1710953421:84280,B000,1.0750,11.0000,11.0000,0.0000
1710953421:131002,B003,25.2571,23.5745,25.4636
1710953421:244709,B000,1.0750,11.0000,11.0000,0.0000
1710953421:314353,B000,1.0750,11.0000,11.0000,0.0000
1710953421:474326,B000,1.0750,11.0000,11.0000,0.0000
1710953421:504315,B000,1.0750,11.0000,11.0000,0.0000
1710953421:634331,B000,1.0800,11.0000,11.0000,0.0000
1710953421:664324,B000,1.0800,11.0000,11.0000,0.0000
1710953421:894339,B000,1.0750,11.0000,11.0000,0.0000
1710953421:924339,B000,1.0750,11.0000,11.0000,0.0000
1710953422:54457,B000,1.0750,11.0000,11.0000,0.0000
1710953422:84455,B000,1.0750,11.0000,11.0000,0.0000
1710953422:130972,B003,25.2571,23.5532,25.4636
1710953422:244464,B000,1.0750,11.0000,11.0000,0.0000
1710953422:314467,B000,1.0750,11.0000,11.0000,0.0000
1710953422:474490,B000,1.0750,11.0000,11.0000,0.0000
1710953422:504669,B000,1.0750,11.0000,11.0000,0.0000
1710953422:634525,B000,1.0750,11.0000,11.0000,0.0000
1710953422:664495,B000,1.0750,11.0000,11.0000,0.0000
1710953422:894532,B000,1.0750,11.0000,11.0000,0.0000
1710953422:924512,B000,1.0800,11.0000,11.0000,0.0000
