1710893030:58408,B003,25.0000,22.0000,21.0000
1710893030:121902,B001,1.0000,11.0000,11.0000,0.0000
1710893030:151836,B001,1.0000,11.0000,11.0000,0.0000
1710893030:281880,B001,1.0000,11.0000,11.0000,0.0000
1710893030:311875,B001,1.0000,11.0000,11.0000,0.0000
1710893030:471899,B001,1.0000,11.0000,11.0000,0.0000
1710893030:541897,B001,1.0000,11.0000,11.0000,0.0000
1710893030:702718,B001,1.0000,11.0000,11.0000,0.0000
1710893030:731902,B001,1.0000,11.0000,11.0000,0.0000
1710893030:861908,B001,1.0000,11.0000,11.0000,0.0000
1710893030:891913,B001,1.0000,11.0000,11.0000,0.0000
1710893031:58363,B003,25.0000,23.0000,21.0000
1710893031:130270,B001,1.0000,11.0000,11.0000,0.0000
1710893031:151947,B001,1.0000,11.0000,11.0000,0.0000
1710893031:281938,B001,1.0000,11.0000,11.0000,0.0000
1710893031:311938,B001,1.0000,11.0000,11.0000,0.0000
1710893031:471963,B001,1.0000,11.0000,11.0000,0.0000
1710893031:541950,B001,1.0000,11.0000,11.0000,0.0000
1710893031:701967,B001,1.0000,11.0000,11.0000,0.0000
1710893031:731969,B001,1.0000,11.0000,11.0000,0.0000
1710893031:861976,B001,1.0000,11.0000,11.0000,0.0000
1710893031:891975,B001,1.0000,11.0000,11.0000,0.0000
1710893032:58316,B003,25.0000,23.0000,21.0000
1710893032:121994,B001,1.0000,11.0000,11.0000,0.0000
1710893032:152017,B001,1.0000,11.0000,11.0000,0.0000
1710893032:282027,B001,1.0000,11.0000,11.0000,0.0000
1710893032:312030,B001,1.0000,11.0000,11.0000,0.0000
1710893032:472039,B001,1.0000,11.0000,11.0000,0.0000
1710893032:542073,B001,1.0000,11.0000,11.0000,0.0000
1710893032:702057,B001,1.0000,11.0000,11.0000,0.0000
1710893032:732055,B001,1.0000,11.0000,11.0000,0.0000
1710893032:862062,B001,1.0000,11.0000,11.0000,0.0000
1710893032:892062,B001,1.0000,11.0000,11.0000,0.0000
1710893033:58407,B003,25.0000,23.0000,21.0000
1710893033:122080,B001,1.0000,11.0000,11.0000,0.0000
1710893033:152080,B001,1.0000,11.0000,11.0000,0.0000
1710893033:282090,B001,1.0000,11.0000,11.0000,0.0000
1710893033:312094,B001,1.0000,11.0000,11.0000,0.0000
1710893033:472110,B001,1.0000,11.0000,11.0000,0.0000
1710893033:542119,B001,1.0000,11.0000,11.0000,0.0000
1710893033:702114,B001,1.0000,11.0000,11.0000,0.0000
1710893033:732931,B001,1.0000,11.0000,11.0000,0.0000
1710893033:862127,B001,1.0000,11.0000,11.0000,0.0000
1710893033:892132,B001,1.0000,11.0000,11.0000,0.0000
1710893034:58579,B003,25.0000,22.0000,21.0000
1710893034:181817,B001,1.0000,11.0000,11.0000,0.0000
1710893034:182389,B001,1.0000,11.0000,11.0000,0.0000
1710893034:282159,B001,1.0000,11.0000,11.0000,0.0000
1710893034:312128,B001,1.0000,11.0000,11.0000,0.0000
1710893034:472183,B001,1.0000,11.0000,11.0000,0.0000
1710893034:542177,B001,1.0000,11.0000,11.0000,0.0000
1710893034:702206,B001,1.0000,11.0000,11.0000,0.0000
1710893034:732184,B001,1.0000,11.0000,11.0000,0.0000
1710893034:862221,B001,1.0000,11.0000,11.0000,0.0000
1710893034:892194,B001,1.0000,11.0000,11.0000,0.0000
1710893035:58634,B003,25.0000,23.0000,21.0000
1710893035:122276,B001,1.0000,11.0000,11.0000,0.0000
1710893035:152187,B001,1.0000,11.0000,11.0000,0.0000
1710893035:282261,B001,1.0000,11.0000,11.0000,0.0000
1710893035:312227,B001,1.0000,11.0000,11.0000,0.0000
1710893035:472240,B001,1.0000,11.0000,11.0000,0.0000
1710893035:542260,B001,1.0000,11.0000,11.0000,0.0000
1710893035:702272,B001,1.0000,11.0000,11.0000,0.0000
1710893035:732255,B001,1.0000,11.0000,11.0000,0.0000
1710893035:862290,B001,1.0000,11.0000,11.0000,0.0000
1710893035:892261,B001,1.0000,11.0000,11.0000,0.0000
1710893036:58601,B003,25.0000,23.0000,21.0000
1710893036:122287,B001,1.0000,11.0000,11.0000,0.0000
1710893036:152282,B001,1.0000,11.0000,11.0000,0.0000
1710893036:282305,B001,1.0000,11.0000,11.0000,0.0000
1710893036:312293,B001,1.0000,11.0000,11.0000,0.0000
1710893036:472306,B001,1.0000,11.0000,11.0000,0.0000
1710893036:542326,B001,1.0000,11.0000,11.0000,0.0000
1710893036:702327,B001,1.0000,11.0000,11.0000,0.0000
1710893036:732322,B001,1.0000,11.0000,11.0000,0.0000
1710893036:862331,B001,1.0000,11.0000,11.0000,0.0000
1710893036:892330,B001,1.0000,11.0000,11.0000,0.0000
1710893037:58665,B003,25.0000,23.0000,21.0000
1710893037:123159,B001,1.0000,11.0000,11.0000,0.0000
1710893037:152353,B001,1.0000,11.0000,11.0000,0.0000
1710893037:282367,B001,1.0000,11.0000,11.0000,0.0000
1710893037:312356,B001,1.0000,11.0000,11.0000,0.0000
1710893037:472373,B001,1.0000,11.0000,11.0000,0.0000
1710893037:542380,B001,1.0000,11.0000,11.0000,0.0000
1710893037:703199,B001,1.0000,11.0000,11.0000,0.0000
1710893037:732385,B001,1.0000,11.0000,11.0000,0.0000
1710893037:862394,B001,1.0000,11.0000,11.0000,0.0000
1710893037:892402,B001,1.0000,11.0000,11.0000,0.0000
1710893038:58737,B003,25.0000,23.0000,21.0000
1710893038:122416,B001,1.0000,11.0000,11.0000,0.0000
1710893038:152412,B001,1.0000,11.0000,11.0000,0.0000
1710893038:282454,B001,1.0000,11.0000,11.0000,0.0000
1710893038:312434,B001,1.0000,11.0000,11.0000,0.0000
1710893038:472444,B001,1.0000,11.0000,11.0000,0.0000
1710893038:542494,B001,1.0000,11.0000,11.0000,0.0000
1710893038:702471,B001,1.0000,11.0000,11.0000,0.0000
1710893038:732458,B001,1.0000,11.0000,11.0000,0.0000
1710893038:862484,B001,1.0000,11.0000,11.0000,0.0000
1710893038:892471,B001,1.0000,11.0000,11.0000,0.0000
1710893039:58802,B003,25.0000,23.0000,21.0000
1710893039:122496,B001,1.0000,11.0000,11.0000,0.0000
1710893039:152487,B001,1.0000,11.0000,11.0000,0.0000
1710893039:282497,B001,1.0000,11.0000,11.0000,0.0000
1710893039:312505,B001,1.0000,11.0000,11.0000,0.0000
1710893039:472507,B001,1.0000,11.0000,11.0000,0.0000
1710893039:543321,B001,1.0000,11.0000,11.0000,0.0000
1710893039:702523,B001,1.0000,11.0000,11.0000,0.0000
1710893039:732523,B001,1.0000,11.0000,11.0000,0.0000
1710893039:862531,B001,1.0000,11.0000,11.0000,0.0000
1710893039:892537,B001,1.0000,11.0000,11.0000,0.0000
1710893040:58867,B003,25.0000,23.0000,21.0000
1710893040:122546,B001,1.0000,11.0000,11.0000,0.0000
1710893040:152553,B001,1.0000,11.0000,11.0000,0.0000
1710893040:282556,B001,1.0000,11.0000,11.0000,0.0000
1710893040:312556,B001,1.0000,11.0000,11.0000,0.0000
1710893040:472612,B001,1.0000,11.0000,11.0000,0.0000
1710893040:542583,B001,1.0000,11.0000,11.0000,0.0000
1710893040:702605,B001,1.0000,11.0000,11.0000,0.0000
1710893040:732590,B001,1.0000,11.0000,11.0000,0.0000
1710893040:862597,B001,1.0000,11.0000,11.0000,0.0000
1710893040:892598,B001,1.0000,11.0000,11.0000,0.0000
1710893041:58937,B003,25.0000,23.0000,21.0000
1710893041:123428,B001,1.0000,11.0000,11.0000,0.0000
1710893041:152620,B001,1.0000,11.0000,11.0000,0.0000
1710893041:282625,B001,1.0000,11.0000,11.0000,0.0000
1710893041:312626,B001,1.0000,11.0000,11.0000,0.0000
1710893041:473458,B001,1.0000,11.0000,11.0000,0.0000
1710893041:542642,B001,1.0000,11.0000,11.0000,0.0000
1710893041:702659,B001,1.0000,11.0000,11.0000,0.0000
1710893041:732655,B001,1.0000,11.0000,11.0000,0.0000
1710893041:862667,B001,1.0000,11.0000,11.0000,0.0000
1710893041:892663,B001,1.0000,11.0000,11.0000,0.0000
1710893042:59100,B003,25.0000,22.0000,21.0000
1710893042:168972,B001,1.0000,11.0000,11.0000,0.0000
1710893042:169446,B001,1.0000,11.0000,11.0000,0.0000
1710893042:283505,B001,1.0000,11.0000,11.0000,0.0000
1710893042:312662,B001,1.0000,11.0000,11.0000,0.0000
1710893042:472733,B001,1.0000,11.0000,11.0000,0.0000
1710893042:542715,B001,1.0000,11.0000,11.0000,0.0000
1710893042:702720,B001,1.0000,11.0000,11.0000,0.0000
1710893042:732724,B001,1.0000,11.0000,11.0000,0.0000
1710893042:862732,B001,1.0000,11.0000,11.0000,0.0000
1710893042:892728,B001,1.0000,11.0000,11.0000,0.0000
1710893043:59176,B003,25.0000,23.0000,21.0000
1710893043:122792,B001,1.0000,11.0000,11.0000,0.0000
1710893043:152728,B001,1.0000,11.0000,11.0000,0.0000
1710893043:282767,B001,1.0000,11.0000,11.0000,0.0000
1710893043:313573,B001,1.0000,11.0000,11.0000,0.0000
1710893043:472779,B001,1.0000,11.0000,11.0000,0.0000
1710893043:542775,B001,1.0000,11.0000,11.0000,0.0000
1710893043:702787,B001,1.0000,11.0000,11.0000,0.0000
1710893043:732789,B001,1.0000,11.0000,11.0000,0.0000
1710893043:863614,B001,1.0000,11.0000,11.0000,0.0000
1710893043:892804,B001,1.0000,11.0000,11.0000,0.0000
1710893044:59135,B003,25.0000,23.0000,21.0000
1710893044:122820,B001,1.0000,11.0000,11.0000,0.0000
1710893044:152814,B001,1.0000,11.0000,11.0000,0.0000
1710893044:282825,B001,1.0000,11.0000,11.0000,0.0000
1710893044:312831,B001,1.0000,11.0000,11.0000,0.0000
1710893044:472848,B001,1.0000,11.0000,11.0000,0.0000
1710893044:542873,B001,1.0000,11.0000,11.0000,0.0000
1710893044:702859,B001,1.0000,11.0000,11.0000,0.0000
1710893044:732860,B001,1.0000,11.0000,11.0000,0.0000
1710893044:862866,B001,1.0000,11.0000,11.0000,0.0000
1710893044:892868,B001,1.0000,11.0000,11.0000,0.0000
1710893045:59204,B003,25.0000,23.0000,21.0000
1710893045:122887,B001,1.0000,11.0000,11.0000,0.0000
1710893045:152885,B001,1.0000,11.0000,11.0000,0.0000
1710893045:282904,B001,1.0000,11.0000,11.0000,0.0000
1710893045:312893,B001,1.0000,11.0000,11.0000,0.0000
1710893045:472908,B001,1.0000,11.0000,11.0000,0.0000
1710893045:542912,B001,1.0000,11.0000,11.0000,0.0000
1710893045:702924,B001,1.0000,11.0000,11.0000,0.0000
1710893045:732920,B001,1.0000,11.0000,11.0000,0.0000
1710893045:862931,B001,1.0000,11.0000,11.0000,0.0000
1710893045:892935,B001,1.0000,11.0000,11.0000,0.0000
1710893046:59371,B003,25.0000,22.0000,21.0000
1710893046:162267,B001,1.0000,11.0000,11.0000,0.0000
1710893046:163099,B001,1.0000,11.0000,11.0000,0.0000
1710893046:282968,B001,1.0000,11.0000,11.0000,0.0000
1710893046:312928,B001,1.0000,11.0000,11.0000,0.0000
1710893046:472981,B001,1.0000,11.0000,11.0000,0.0000
1710893046:542978,B001,1.0000,11.0000,11.0000,0.0000
1710893046:702997,B001,1.0000,11.0000,11.0000,0.0000
1710893046:732991,B001,1.0000,11.0000,11.0000,0.0000
1710893046:862999,B001,1.0000,11.0000,11.0000,0.0000
1710893046:893002,B001,1.0000,11.0000,11.0000,0.0000
1710893047:59435,B003,25.0000,23.0000,21.0000
1710893047:186034,B001,1.0000,11.0000,11.0000,0.0000
1710893047:186561,B001,1.0000,11.0000,11.0000,0.0000
1710893047:283028,B001,1.0000,11.0000,11.0000,0.0000
1710893047:313001,B001,1.0000,11.0000,11.0000,0.0000
1710893047:473049,B001,1.0000,11.0000,11.0000,0.0000
1710893047:543046,B001,1.0000,11.0000,11.0000,0.0000
1710893047:703059,B001,1.0000,11.0000,11.0000,0.0000
1710893047:733060,B001,1.0000,11.0000,11.0000,0.0000
1710893047:863065,B001,1.0000,11.0000,11.0000,0.0000
1710893047:893062,B001,1.0000,11.0000,11.0000,0.0000
1710893048:59409,B003,25.0000,23.0000,21.0000
1710893048:123088,B001,1.0000,11.0000,11.0000,0.0000
1710893048:153089,B001,1.0000,11.0000,11.0000,0.0000
1710893048:283090,B001,1.0000,11.0000,11.0000,0.0000
1710893048:313096,B001,1.0000,11.0000,11.0000,0.0000
1710893048:473106,B001,1.0000,11.0000,11.0000,0.0000
1710893048:543924,B001,1.0000,11.0000,11.0000,0.0000
1710893048:703124,B001,1.0000,11.0000,11.0000,0.0000
1710893048:733126,B001,1.0000,11.0000,11.0000,0.0000
1710893048:863131,B001,1.0000,11.0000,11.0000,0.0000
1710893048:893138,B001,1.0000,11.0000,11.0000,0.0000
1710893049:59470,B003,25.0000,23.0000,21.0000
1710893049:123959,B001,1.0000,11.0000,11.0000,0.0000
1710893049:153155,B001,1.0000,11.0000,11.0000,0.0000
1710893049:283173,B001,1.0000,11.0000,11.0000,0.0000
1710893049:313164,B001,1.0000,11.0000,11.0000,0.0000
1710893049:473179,B001,1.0000,11.0000,11.0000,0.0000
1710893049:543179,B001,1.0000,11.0000,11.0000,0.0000
1710893049:703186,B001,1.0000,11.0000,11.0000,0.0000
1710893049:733187,B001,1.0000,11.0000,11.0000,0.0000
1710893049:863199,B001,1.0000,11.0000,11.0000,0.0000
1710893049:893204,B001,1.0000,11.0000,11.0000,0.0000
1710893050:59631,B003,25.0000,22.0000,21.0000
1710893050:157081,B001,1.0000,11.0000,11.0000,0.0000
1710893050:157565,B001,1.0000,11.0000,11.0000,0.0000
1710893050:283235,B001,1.0000,11.0000,11.0000,0.0000
1710893050:313198,B001,1.0000,11.0000,11.0000,0.0000
1710893050:474061,B001,1.0000,11.0000,11.0000,0.0000
1710893050:543279,B001,1.0000,11.0000,11.0000,0.0000
1710893050:703257,B001,1.0000,11.0000,11.0000,0.0000
1710893050:733262,B001,1.0000,11.0000,11.0000,0.0000
1710893050:863270,B001,1.0000,11.0000,11.0000,0.0000
1710893050:893269,B001,1.0000,11.0000,11.0000,0.0000
1710893051:59697,B003,25.0000,23.0000,21.0000
1710893051:183539,B001,1.0000,11.0000,11.0000,0.0000
1710893051:184005,B001,1.0000,11.0000,11.0000,0.0000
1710893051:283300,B001,1.0000,11.0000,11.0000,0.0000
1710893051:313268,B001,1.0000,11.0000,11.0000,0.0000
1710893051:473319,B001,1.0000,11.0000,11.0000,0.0000
1710893051:543315,B001,1.0000,11.0000,11.0000,0.0000
1710893051:703322,B001,1.0000,11.0000,11.0000,0.0000
1710893051:733323,B001,1.0000,11.0000,11.0000,0.0000
1710893051:863339,B001,1.0000,11.0000,11.0000,0.0000
1710893051:893337,B001,1.0000,11.0000,11.0000,0.0000
1710893052:59674,B003,25.0000,23.0000,21.0000
1710893052:123353,B001,1.0000,11.0000,11.0000,0.0000
1710893052:153349,B001,1.0000,11.0000,11.0000,0.0000
1710893052:283360,B001,1.0000,11.0000,11.0000,0.0000
1710893052:313361,B001,1.0000,11.0000,11.0000,0.0000
1710893052:473377,B001,1.0000,11.0000,11.0000,0.0000
1710893052:543381,B001,1.0000,11.0000,11.0000,0.0000
1710893052:703395,B001,1.0000,11.0000,11.0000,0.0000
1710893052:733389,B001,1.0000,11.0000,11.0000,0.0000
1710893052:863405,B001,1.0000,11.0000,11.0000,0.0000
1710893052:894235,B001,1.0000,11.0000,11.0000,0.0000
1710893053:59733,B003,25.0000,23.0000,21.0000
1710893053:123423,B001,1.0000,11.0000,11.0000,0.0000
1710893053:153420,B001,1.0000,11.0000,11.0000,0.0000
1710893053:283431,B001,1.0000,11.0000,11.0000,0.0000
1710893053:314258,B001,1.0000,11.0000,11.0000,0.0000
1710893053:473444,B001,1.0000,11.0000,11.0000,0.0000
1710893053:543449,B001,1.0000,11.0000,11.0000,0.0000
1710893053:703457,B001,1.0000,11.0000,11.0000,0.0000
1710893053:733463,B001,1.0000,11.0000,11.0000,0.0000
1710893053:863469,B001,1.0000,11.0000,11.0000,0.0000
1710893053:893473,B001,1.0000,11.0000,11.0000,0.0000
1710893054:59804,B003,25.0000,23.0000,21.0000
1710893054:123484,B001,1.0000,11.0000,11.0000,0.0000
1710893054:153492,B001,1.0000,11.0000,11.0000,0.0000
1710893054:284309,B001,1.0000,11.0000,11.0000,0.0000
1710893054:313501,B001,1.0000,11.0000,11.0000,0.0000
1710893054:473519,B001,1.0000,11.0000,11.0000,0.0000
1710893054:543516,B001,1.0000,11.0000,11.0000,0.0000
1710893054:703530,B001,1.0000,11.0000,11.0000,0.0000
1710893054:733528,B001,1.0000,11.0000,11.0000,0.0000
1710893054:863539,B001,1.0000,11.0000,11.0000,0.0000
1710893054:893539,B001,1.0000,11.0000,11.0000,0.0000
1710893055:59872,B003,25.0000,23.0000,21.0000
1710893055:123560,B001,1.0000,11.0000,11.0000,0.0000
1710893055:153557,B001,1.0000,11.0000,11.0000,0.0000
1710893055:283563,B001,1.0000,11.0000,11.0000,0.0000
1710893055:313565,B001,1.0000,11.0000,11.0000,0.0000
1710893055:473574,B001,1.0000,11.0000,11.0000,0.0000
1710893055:543580,B001,1.0000,11.0000,11.0000,0.0000
1710893055:703600,B001,1.0000,11.0000,11.0000,0.0000
1710893055:733592,B001,1.0000,11.0000,11.0000,0.0000
1710893055:863608,B001,1.0000,11.0000,11.0000,0.0000
1710893055:893610,B001,1.0000,11.0000,11.0000,0.0000
1710893056:59939,B003,25.0000,23.0000,21.0000
1710893056:123615,B001,1.0000,11.0000,11.0000,0.0000
1710893056:153625,B001,1.0000,11.0000,11.0000,0.0000
