1710895337:845813,B003,25.0000,22.0000,21.0000
1710895337:846570,B001,1.0000,11.0000,11.0000,0.0000
1710895337:846759,B001,1.0000,11.0000,11.0000,0.0000
1710895337:848106,B001,1.0000,11.0000,11.0000,0.0000
1710895337:848293,B001,1.0000,11.0000,11.0000,0.0000
1710895337:849455,B001,1.0000,11.0000,11.0000,0.0000
1710895337:850008,B001,1.0000,11.0000,11.0000,0.0000
1710895338:37020,B001,1.0000,11.0000,11.0000,0.0000
1710895338:37230,B001,1.0000,11.0000,11.0000,0.0000
1710895338:126725,B003,25.0000,22.0000,21.0000
1710895338:190411,B001,1.0000,11.0000,11.0000,0.0000
1710895338:220405,B001,1.0000,11.0000,11.0000,0.0000
1710895338:350392,B001,1.0000,11.0000,11.0000,0.0000
1710895338:380414,B001,1.0000,11.0000,11.0000,0.0000
1710895338:540433,B001,1.0000,11.0000,11.0000,0.0000
1710895338:610438,B001,1.0000,11.0000,11.0000,0.0000
1710895338:770446,B001,1.0000,11.0000,11.0000,0.0000
1710895338:800418,B001,1.0000,11.0000,11.0000,0.0000
1710895338:930424,B001,1.0000,11.0000,11.0000,0.0000
1710895338:960430,B001,1.0000,11.0000,11.0000,0.0000
1710895339:126763,B003,25.0000,22.0000,21.0000
1710895339:190453,B001,1.0000,11.0000,11.0000,0.0000
1710895339:220450,B001,1.0000,11.0000,11.0000,0.0000
1710895339:350463,B001,1.0000,11.0000,11.0000,0.0000
1710895339:381278,B001,1.0000,11.0000,11.0000,0.0000
1710895339:540482,B001,1.0000,11.0000,11.0000,0.0000
1710895339:610482,B001,1.0000,11.0000,11.0000,0.0000
1710895339:770492,B001,1.0000,11.0000,11.0000,0.0000
1710895339:800716,B001,1.0000,11.0000,11.0000,0.0000
1710895339:930683,B001,1.0000,11.0000,11.0000,0.0000
1710895339:960683,B001,1.0000,11.0000,11.0000,0.0000
1710895340:127009,B003,25.0000,22.0000,21.0000
1710895340:190696,B001,1.0000,11.0000,11.0000,0.0000
1710895340:220700,B001,1.0000,11.0000,11.0000,0.0000
1710895340:350707,B001,1.0000,11.0000,11.0000,0.0000
1710895340:380718,B001,1.0000,11.0000,11.0000,0.0000
1710895340:540739,B001,1.0000,11.0000,11.0000,0.0000
1710895340:610736,B001,1.0000,11.0000,11.0000,0.0000
1710895340:770741,B001,1.0000,11.0000,11.0000,0.0000
1710895340:800748,B001,1.0000,11.0000,11.0000,0.0000
