1710891020:509139,B003,25.0000,23.0000,21.0000
1710891020:510696,B001,1.0000,11.0000,11.0000,0.0000
1710891020:511117,B001,1.0000,11.0000,11.0000,0.0000
1710891020:513330,B001,1.0000,11.0000,11.0000,0.0000
1710891020:513738,B001,1.0000,11.0000,11.0000,0.0000
1710891020:516359,B001,1.0000,11.0000,11.0000,0.0000
1710891020:517490,B001,1.0000,11.0000,11.0000,0.0000
1710891020:580501,B001,1.0000,11.0000,11.0000,0.0000
1710891020:581028,B001,1.0000,11.0000,11.0000,0.0000
1710891020:720529,B003,25.0000,23.0000,21.0000
1710891020:784217,B001,1.0000,11.0000,11.0000,0.0000
1710891020:814201,B001,1.0000,11.0000,11.0000,0.0000
1710891020:944198,B001,1.0000,11.0000,11.0000,0.0000
1710891020:974208,B001,1.0000,11.0000,11.0000,0.0000
1710891021:134209,B001,1.0000,11.0000,11.0000,0.0000
1710891021:204214,B001,1.0000,11.0000,11.0000,0.0000
1710891021:364223,B001,1.0000,11.0000,11.0000,0.0000
1710891021:394228,B001,1.0000,11.0000,11.0000,0.0000
1710891021:524241,B001,1.0000,11.0000,11.0000,0.0000
1710891021:554234,B001,1.0000,11.0000,11.0000,0.0000
1710891021:720583,B003,25.0000,23.0000,21.0000
1710891021:784260,B001,1.0000,11.0000,11.0000,0.0000
1710891021:814259,B001,1.0000,11.0000,11.0000,0.0000
1710891021:944272,B001,1.0000,11.0000,11.0000,0.0000
1710891021:974269,B001,1.0000,11.0000,11.0000,0.0000
1710891022:134280,B001,1.0000,11.0000,11.0000,0.0000
1710891022:204282,B001,1.0000,11.0000,11.0000,0.0000
1710891022:364298,B001,1.0000,11.0000,11.0000,0.0000
1710891022:394298,B001,1.0000,11.0000,11.0000,0.0000
1710891022:525133,B001,1.0000,11.0000,11.0000,0.0000
1710891022:554313,B001,1.0000,11.0000,11.0000,0.0000
1710891022:720646,B003,25.0000,23.0000,21.0000
1710891022:784324,B001,1.0000,11.0000,11.0000,0.0000
1710891022:814333,B001,1.0000,11.0000,11.0000,0.0000
1710891022:922642,B003,25.0000,23.0000,21.0000
1710891022:944340,B001,1.0000,11.0000,11.0000,0.0000
1710891022:974336,B001,1.0000,11.0000,11.0000,0.0000
1710891023:134352,B001,1.0000,11.0000,11.0000,0.0000
1710891023:204359,B001,1.0000,11.0000,11.0000,0.0000
1710891023:365179,B001,1.0000,11.0000,11.0000,0.0000
1710891023:395177,B001,1.0000,11.0000,11.0000,0.0000
1710891023:524384,B001,1.0000,11.0000,11.0000,0.0000
1710891023:554376,B001,1.0000,11.0000,11.0000,0.0000
1710891023:720710,B003,25.0000,23.0000,21.0000
1710891023:784400,B001,1.0000,11.0000,11.0000,0.0000
1710891023:814403,B001,1.0000,11.0000,11.0000,0.0000
1710891023:945234,B001,1.0000,11.0000,11.0000,0.0000
1710891023:974408,B001,1.0000,11.0000,11.0000,0.0000
1710891024:134420,B001,1.0000,11.0000,11.0000,0.0000
1710891024:204427,B001,1.0000,11.0000,11.0000,0.0000
1710891024:364440,B001,1.0000,11.0000,11.0000,0.0000
1710891024:394442,B001,1.0000,11.0000,11.0000,0.0000
1710891024:524457,B001,1.0000,11.0000,11.0000,0.0000
1710891024:554454,B001,1.0000,11.0000,11.0000,0.0000
1710891024:720779,B003,25.0000,23.0000,21.0000
1710891024:784472,B001,1.0000,11.0000,11.0000,0.0000
1710891024:814470,B001,1.0000,11.0000,11.0000,0.0000
1710891024:944481,B001,1.0000,11.0000,11.0000,0.0000
1710891024:974480,B001,1.0000,11.0000,11.0000,0.0000
1710891025:135304,B001,1.0000,11.0000,11.0000,0.0000
1710891025:204497,B001,1.0000,11.0000,11.0000,0.0000
1710891025:364510,B001,1.0000,11.0000,11.0000,0.0000
1710891025:394507,B001,1.0000,11.0000,11.0000,0.0000
1710891025:524521,B001,1.0000,11.0000,11.0000,0.0000
1710891025:554519,B001,1.0000,11.0000,11.0000,0.0000
1710891025:721080,B003,25.0000,23.0000,21.0000
1710891025:784718,B001,1.0000,11.0000,11.0000,0.0000
1710891025:814717,B001,1.0000,11.0000,11.0000,0.0000
1710891025:944730,B001,1.0000,11.0000,11.0000,0.0000
1710891025:974727,B001,1.0000,11.0000,11.0000,0.0000
1710891026:134740,B001,1.0000,11.0000,11.0000,0.0000
1710891026:204743,B001,1.0000,11.0000,11.0000,0.0000
1710891026:364770,B001,1.0000,11.0000,11.0000,0.0000
1710891026:394753,B001,1.0000,11.0000,11.0000,0.0000
1710891026:524770,B001,1.0000,11.0000,11.0000,0.0000
1710891026:554766,B001,1.0000,11.0000,11.0000,0.0000
1710891026:721103,B003,25.0000,23.0000,21.0000
1710891026:784790,B001,1.0000,11.0000,11.0000,0.0000
1710891026:814783,B001,1.0000,11.0000,11.0000,0.0000
1710891026:944837,B001,1.0000,11.0000,11.0000,0.0000
1710891026:974794,B001,1.0000,11.0000,11.0000,0.0000
1710891027:134811,B001,1.0000,11.0000,11.0000,0.0000
1710891027:204814,B001,1.0000,11.0000,11.0000,0.0000
1710891027:364825,B001,1.0000,11.0000,11.0000,0.0000
1710891027:394826,B001,1.0000,11.0000,11.0000,0.0000
